RPM,Engine_Temperature_C,Speed_kmph,Battery_SOC_%,Battery_SOH_%,Battery_Temperature_C,Engine_Overheat,Overspeed,High_RPM,Battery_Critical,Fault
1707,94.58499213011952,33,97.31627885950502,93.2614985529521,26.703930885291243,False,False,False,False,0
1767,91.83612744532968,122,35.4755124377373,94.96182450168646,44.16461138578691,False,True,False,False,1
3511,78.62347304441896,117,48.90045914988974,90.58993946325124,22.543274605243617,False,False,False,False,0
3729,102.53387026403736,123,78.21186700895838,90.8293269600692,29.658225183289357,False,True,False,False,1
4676,114.3654475889291,49,58.10074602557631,91.32303216001696,33.648876990258834,True,False,False,False,1
5824,101.22032193278346,182,59.44645086412129,90.34094163066612,33.065662326745155,False,True,False,False,1
2763,105.13319352700172,14,96.7179385253222,100.0,42.36685184118394,False,False,False,False,0
5851,90.47660573098096,184,90.83638099005069,93.57789410873616,40.776117431104254,False,True,False,False,1
4157,86.27390756280349,153,68.66386433914857,99.55844921291336,35.87503787342823,False,True,False,False,1
2990,94.31693072354092,8,55.75262109226252,93.96355106231194,30.184417314498955,False,False,False,False,0
2890,77.66154340180263,72,81.84892733087723,89.7336419413719,46.070030133556486,False,False,False,False,0
3752,78.67941699146354,103,82.67919640277425,83.22981006412249,31.780603649132164,False,False,False,False,0
2881,98.36209602183212,33,62.11563917832434,94.02059667716551,36.82350639707264,False,False,False,False,0
2529,105.02902265595776,95,78.04699086914667,90.5520361462888,31.16968961661432,False,False,False,False,0
5552,92.30545578393335,35,68.91446786760041,92.64759589999436,31.938540909910767,False,False,False,False,0
3835,96.18079876717188,192,72.01314390690308,90.80873866542348,32.04521684291851,False,True,False,False,1
6581,76.39713600984464,127,81.58581397416516,93.95670992977932,40.80597971213722,False,True,True,False,1
2301,93.62240687860096,146,75.61417665513301,86.04086831061873,26.382029084871498,False,True,False,False,1
1375,80.01900277671393,128,95.51844925780767,95.7797870633024,24.07771384598735,False,True,False,False,1
3956,101.98665354702833,53,98.46097703691538,99.72803602752656,20.0,False,False,False,False,0
2721,78.82099771116617,36,71.6675154643257,98.38156524985452,31.81107800923012,False,False,False,False,0
5828,77.25767680691078,114,87.13906486664821,88.77650330358088,31.3504630594458,False,False,False,False,0
4541,80.16711440095224,79,78.12844350569209,92.4421110164819,34.44860900646391,False,False,False,False,0
1589,99.8837395434498,43,58.6089812747626,100.0,33.253160754461845,False,False,False,False,0
6175,83.30572970048874,131,87.04773186298756,89.9764976376036,33.28491884814304,False,True,True,False,1
830,93.48043096082576,177,67.46903690592463,100.0,34.585706977051224,False,True,False,False,1
2039,101.82754236031845,63,84.1090741352014,94.20788434311658,32.707011012137265,False,False,False,False,0
3147,79.7057805674206,164,71.49368756706244,92.9274467281669,46.76245954608828,False,True,False,False,1
4901,79.7236704659168,196,96.2088848589424,92.78666160315618,34.52876674309621,False,True,False,False,1
6269,72.3622402000276,28,66.04672074058807,96.11998437464533,28.61453589345691,False,False,True,False,1
